ego_id,alter_id,is_study_peer,first_saved_week,last_saved_week,total_weeks_saved
10353,ext_a9e20c99,0,59,77,10
10353,ext_aa87c4f7,0,59,77,10
10353,ext_ad7132d2,0,75,77,2
10353,ext_ad8db0d2,0,59,77,10
10353,ext_ae83ada2,0,59,77,10
10353,ext_b1632ffa,0,59,77,10
10353,ext_b67785ff,0,59,77,10
10353,ext_b77700d5,0,59,77,10
10353,ext_b7a21b61,0,75,77,2
10353,ext_b8a133f2,0,59,77,10
10353,ext_b986fef9,0,59,77,10
10353,ext_bb89c2e9,0,59,77,10
10353,ext_bcb51c48,0,59,77,10
10353,ext_bdd40663,0,59,77,10
10353,ext_bdf98afe,0,59,77,5
10353,ext_be04c7ba,0,59,77,10
10353,ext_bf0d804b,0,62,77,9
10353,ext_c14e8cab,0,59,77,10
10353,ext_c27f2131,0,59,77,10
10353,ext_c310ffe5,0,62,66,5
10353,ext_c565423c,0,59,77,10
10353,ext_c5992ef4,0,59,77,10
10353,ext_c5ba9db1,0,59,77,10
10353,ext_c781e20e,0,59,77,10
10353,ext_c84aa60c,0,59,77,10
10353,ext_ca999005,0,62,77,9
10353,ext_cb894569,0,62,77,9
10353,ext_cf918ae2,0,59,77,10
10353,ext_cfdec3c2,0,75,77,2
10353,ext_d0097896,0,59,77,10
10353,ext_d2dafe54,0,59,77,12
10353,ext_d334b289,0,59,77,10
10353,ext_d349f33d,0,62,77,9
10353,ext_d4684140,0,59,77,10
10353,ext_d4b2ca33,0,59,77,10
10353,ext_d532c5cf,0,59,77,10
10353,ext_d5d16219,0,59,77,10
10353,ext_d95f5e57,0,59,77,11
10353,ext_d9a2b72c,0,59,77,10
10353,ext_db3f6600,0,59,77,10
10353,ext_de55ce9d,0,59,77,10
10353,ext_df414f91,0,59,77,10
10353,ext_e10ae364,0,59,77,10
10353,ext_e1d9e52e,0,59,77,10
10353,ext_e8aaeb66,0,59,77,12
10353,ext_e991b9a4,0,59,77,10
10353,ext_e9db7281,0,59,77,10
10353,ext_e9fb4424,0,59,77,11
10353,ext_ebd57655,0,59,77,10
10353,ext_ec3cd641,0,59,77,10
10353,ext_ee8dd168,0,59,77,10
10353,ext_f1096e24,0,59,77,10
10353,ext_f48739d2,0,59,77,10
10353,ext_f7363ebe,0,59,77,10
10353,ext_fa9807d1,0,59,77,10
10353,ext_fcdd2b56,0,59,77,10
10353,ext_fdade877,0,59,77,10
10353,ext_ff31e9db,0,59,77,10
10353,ext_ff9c61a9,0,75,77,2
10841,20905,1,60,133,60
10841,22931,1,60,108,40
10841,30076,1,110,133,19
10841,35227,1,60,133,60
10841,39783,1,60,133,60
10841,40997,1,60,133,60
10841,49597,1,60,133,60
10841,53275,1,60,133,60
10841,58909,1,60,133,60
10841,63757,1,60,133,60
10841,68494,1,60,133,60
10841,68633,1,60,133,60
10841,86352,1,60,133,60
10841,88133,1,60,133,60
10841,ext_002d95bf,0,60,133,60
10841,ext_00872183,0,102,120,17
10841,ext_01075b55,0,66,95,23
10841,ext_013ffa75,0,115,133,14
10841,ext_02a2bdbd,0,108,133,21
10841,ext_038ee5ee,0,60,133,60
10841,ext_03e1dee6,0,116,133,13
10841,ext_044a2719,0,60,133,60
10841,ext_0471b2a7,0,62,133,59
10841,ext_05c02b90,0,86,133,43
10841,ext_05fa7c21,0,109,133,20
10841,ext_070fd145,0,60,133,60
10841,ext_0932e025,0,60,133,60
10841,ext_098fe629,0,99,133,30
10841,ext_0ba558f1,0,103,133,16
10841,ext_0bd6afc2,0,60,133,60
10841,ext_0bfc7095,0,99,133,30
10841,ext_0c006251,0,63,133,58
10841,ext_0d489bd5,0,60,105,37
10841,ext_0d612247,0,106,115,10
10841,ext_10712d15,0,60,133,60
10841,ext_1276947e,0,99,133,30
10841,ext_129c7a47,0,92,133,37
10841,ext_13e7af96,0,60,133,60
10841,ext_14284391,0,108,133,21
10841,ext_16f56c29,0,96,133,33
10841,ext_17ec2914,0,100,133,29
10841,ext_1a67fb03,0,106,115,10
10841,ext_1abf3f2d,0,66,133,56
10841,ext_1d2094d4,0,79,133,48
10841,ext_217501db,0,60,133,60
10841,ext_2467d742,0,60,133,60
10841,ext_255cf5ef,0,108,133,21
10841,ext_259f605f,0,115,133,14
10841,ext_25bb5ac0,0,60,133,60
10841,ext_25be3720,0,60,133,60
10841,ext_266ebce7,0,100,133,29
10841,ext_2689ec78,0,60,133,60
10841,ext_26d405dd,0,108,114,7
10841,ext_26f65e2b,0,60,133,60
10841,ext_26fb4085,0,60,133,60
10841,ext_29f4b8f5,0,60,133,60
10841,ext_2b2d4433,0,115,133,14
10841,ext_2ba57547,0,103,133,16
10841,ext_2cf1982f,0,60,133,60
10841,ext_2e76420d,0,60,133,60
10841,ext_2f3a2583,0,99,102,4
10841,ext_2ff16b0c,0,60,133,60
10841,ext_3004ec26,0,60,133,60
10841,ext_314bdab4,0,60,133,60
10841,ext_3243cd6d,0,115,133,14
10841,ext_347c3f3e,0,60,133,60
10841,ext_34e5e533,0,60,133,60
10841,ext_3591e4a6,0,60,133,60
10841,ext_35ddb7b2,0,108,133,21
10841,ext_35ef6bda,0,60,133,60
10841,ext_36b9bce9,0,60,133,60
10841,ext_36e2fcbe,0,92,133,30
10841,ext_38c21fec,0,60,133,60
10841,ext_38d7910d,0,110,114,5
10841,ext_39ff5d65,0,60,133,60
10841,ext_3b639231,0,60,133,60
10841,ext_3ef059e2,0,60,105,37
10841,ext_3ff53bb6,0,60,133,60
10841,ext_401c4894,0,94,133,35
10841,ext_406d2f3b,0,66,133,56
10841,ext_4467b4c7,0,108,133,21
10841,ext_450b1a77,0,103,133,26
10841,ext_45726ed7,0,60,133,60
10841,ext_45fc0348,0,60,127,57
10841,ext_48bbdcb7,0,60,133,60
10841,ext_4939baed,0,60,133,60
10841,ext_49b39286,0,60,133,60
10841,ext_4a50e2a5,0,60,133,60
10841,ext_4aa59885,0,103,133,26
10841,ext_4af784f2,0,60,133,60
10841,ext_4db9895d,0,73,133,54
10841,ext_4de9f98c,0,60,133,60
10841,ext_4e256a4a,0,97,133,32
10841,ext_4e3fadda,0,60,133,60
10841,ext_4f2c19dd,0,133,133,1
10841,ext_50c869bd,0,120,133,11
10841,ext_50d89633,0,115,133,14
10841,ext_53044c3a,0,60,133,60
10841,ext_53b90035,0,103,133,16
10841,ext_573192bb,0,73,133,54
10841,ext_5885757d,0,96,133,33
10841,ext_5a6fc505,0,60,133,60
10841,ext_5c6ea515,0,106,115,10
10841,ext_5dc8b8ff,0,60,133,60
10841,ext_5df05602,0,88,133,41
10841,ext_5ea408df,0,60,133,60
10841,ext_60e2e598,0,99,102,4
10841,ext_61054d7b,0,103,133,16
10841,ext_6191f752,0,60,133,60
10841,ext_63032317,0,66,102,30
10841,ext_6322496d,0,60,133,60
10841,ext_6481ff9d,0,129,133,3
10841,ext_695c7967,0,60,133,60
10841,ext_6aa8dc01,0,85,133,44
10841,ext_6c1f7e04,0,106,115,10
10841,ext_6c596512,0,115,133,14
10841,ext_6f4f9a62,0,60,133,60
10841,ext_7042c32f,0,60,133,60
10841,ext_7052a0e3,0,60,133,60
10841,ext_720f48ec,0,60,133,60
10841,ext_73b065f1,0,60,133,60
10841,ext_73f526ee,0,60,133,60
10841,ext_75d35e56,0,60,133,60
10841,ext_7852f22c,0,60,133,60
10841,ext_786cb4d1,0,103,115,13
10841,ext_793bbdf0,0,112,133,17
10841,ext_79d5368e,0,60,133,60
10841,ext_7a1c9668,0,103,133,16
10841,ext_7c7d8e12,0,60,133,60
10841,ext_7d3d1818,0,60,133,60
10841,ext_7e124717,0,60,133,60
10841,ext_7ef5c4b1,0,60,133,60
10841,ext_811e1a42,0,98,133,24
10841,ext_81472ae0,0,60,133,60
10841,ext_82165b34,0,99,133,30
10841,ext_8433e241,0,60,133,60
10841,ext_85b8ae36,0,103,133,16
10841,ext_8644af3a,0,93,133,33
10841,ext_873de068,0,60,133,60
10841,ext_87e559bb,0,60,133,60
