egoid,sender,wave,alter1_pos,alter2_pos,alter1_id,alter2_id,alter1_egoid,alter2_egoid,perceived_tie
40557,5743671915,2,14,15,NA,6307268462,NA,NA,1
40629,5745403260,2,1,2,2242099705,8474006090,NA,NA,1
40629,5745403260,2,1,3,2242099705,8472121353,NA,NA,1
40629,5745403260,2,1,4,2242099705,8477217101,NA,NA,1
40629,5745403260,2,1,5,2242099705,8473637639,NA,NA,1
40629,5745403260,2,1,8,2242099705,2244061675,NA,NA,1
40629,5745403260,2,1,14,2242099705,8155298323,NA,NA,1
40629,5745403260,2,1,15,2242099705,8476504550,NA,NA,1
40629,5745403260,2,1,16,2242099705,8478905633,NA,NA,1
40629,5745403260,2,2,3,8474006090,8472121353,NA,NA,1
40629,5745403260,2,2,4,8474006090,8477217101,NA,NA,1
40629,5745403260,2,2,5,8474006090,8473637639,NA,NA,1
40629,5745403260,2,2,8,8474006090,2244061675,NA,NA,1
40629,5745403260,2,2,12,8474006090,8155299911,NA,NA,1
40629,5745403260,2,2,14,8474006090,8155298323,NA,NA,1
40629,5745403260,2,2,15,8474006090,8476504550,NA,NA,1
40629,5745403260,2,2,16,8474006090,8478905633,NA,NA,1
40629,5745403260,2,3,4,8472121353,8477217101,NA,NA,1
40629,5745403260,2,3,5,8472121353,8473637639,NA,NA,1
40629,5745403260,2,3,8,8472121353,2244061675,NA,NA,1
40629,5745403260,2,3,12,8472121353,8155299911,NA,NA,1
40629,5745403260,2,3,14,8472121353,8155298323,NA,NA,1
40629,5745403260,2,3,15,8472121353,8476504550,NA,NA,1
40629,5745403260,2,4,5,8477217101,8473637639,NA,NA,1
40629,5745403260,2,4,6,8477217101,9732550198,NA,NA,1
40629,5745403260,2,4,7,8477217101,5099984717,NA,NA,1
40629,5745403260,2,4,8,8477217101,2244061675,NA,NA,1
40629,5745403260,2,4,9,8477217101,5852306323,NA,NA,1
40629,5745403260,2,4,10,8477217101,3136225639,NA,NA,1
40629,5745403260,2,4,11,8477217101,3174522499,NA,NA,1
40629,5745403260,2,4,12,8477217101,8155299911,NA,NA,1
40629,5745403260,2,4,13,8477217101,9373077842,NA,NA,1
40629,5745403260,2,4,14,8477217101,8155298323,NA,NA,1
40629,5745403260,2,4,15,8477217101,8476504550,NA,NA,1
40629,5745403260,2,4,16,8477217101,8478905633,NA,NA,1
40629,5745403260,2,5,8,8473637639,2244061675,NA,NA,1
40629,5745403260,2,5,12,8473637639,8155299911,NA,NA,1
40629,5745403260,2,5,15,8473637639,8476504550,NA,NA,1
40629,5745403260,2,5,16,8473637639,8478905633,NA,NA,1
40629,5745403260,2,6,7,9732550198,5099984717,NA,NA,1
40629,5745403260,2,6,8,9732550198,2244061675,NA,NA,1
40629,5745403260,2,6,9,9732550198,5852306323,NA,NA,1
40629,5745403260,2,6,10,9732550198,3136225639,NA,NA,1
40629,5745403260,2,6,11,9732550198,3174522499,NA,NA,1
40629,5745403260,2,6,13,9732550198,9373077842,NA,NA,1
40629,5745403260,2,7,9,5099984717,5852306323,NA,NA,1
40629,5745403260,2,8,12,2244061675,8155299911,NA,NA,1
40629,5745403260,2,8,14,2244061675,8155298323,NA,NA,1
40629,5745403260,2,8,15,2244061675,8476504550,NA,NA,1
40629,5745403260,2,8,16,2244061675,8478905633,NA,NA,1
40629,5745403260,2,9,10,5852306323,3136225639,NA,NA,1
40629,5745403260,2,9,11,5852306323,3174522499,NA,NA,1
40629,5745403260,2,9,13,5852306323,9373077842,NA,NA,1
40629,5745403260,2,11,13,3174522499,9373077842,NA,NA,1
40629,5745403260,2,12,14,8155299911,8155298323,NA,NA,1
40629,5745403260,2,12,15,8155299911,8476504550,NA,NA,1
40629,5745403260,2,12,16,8155299911,8478905633,NA,NA,1
40629,5745403260,2,14,15,8155298323,8476504550,NA,NA,1
40629,5745403260,2,14,16,8155298323,8478905633,NA,NA,1
40629,5745403260,2,15,16,8476504550,8478905633,NA,NA,1
40997,5745403704,2,1,2,5745401837,8087543801,53275,NA,1
40997,5745403704,2,1,5,5745401837,5743671839,53275,11360,1
40997,5745403704,2,1,7,5745401837,9542548810,53275,NA,1
40997,5745403704,2,1,8,5745401837,9546322050,53275,NA,1
40997,5745403704,2,1,9,5745401837,5745407560,53275,10841,1
40997,5745403704,2,1,10,5745401837,7874227695,53275,NA,1
40997,5745403704,2,1,11,5745401837,9154913056,53275,NA,1
40997,5745403704,2,1,12,5745401837,7873721353,53275,NA,1
40997,5745403704,2,1,13,5745401837,7742664061,53275,NA,1
40997,5745403704,2,1,14,5745401837,5745407536,53275,86352,1
40997,5745403704,2,1,15,5745401837,8018034269,53275,NA,1
