egoid,alter_id,is_study_peer,study_week,stata_week,flow_in,flow_out,total_flow,is_saved_in_contacts
22931,145867,0,0,2684,0,1,1,0
22931,146522,0,0,2684,21,18,39,0
22931,148231,0,0,2684,0,1,1,0
22931,151927,0,0,2684,0,1,1,0
22931,165384,0,0,2684,2,5,7,0
22931,167133,0,0,2684,3,2,5,0
22931,170565,0,0,2684,3,3,6,0
22931,170753,0,0,2684,0,1,1,0
22931,174791,0,0,2684,14,11,25,0
22931,188835,0,0,2684,2,4,6,0
22931,190220,0,0,2684,0,1,1,0
22931,192273,0,0,2684,1,1,2,0
22931,198239,0,0,2684,0,1,1,0
22931,201794,0,0,2684,1,1,2,0
22931,211455,0,0,2684,4,4,8,0
22931,232005,0,0,2684,0,1,1,0
22931,248565,0,0,2684,0,1,1,0
22931,265147,0,0,2684,2,3,5,0
22931,300829,0,0,2684,0,1,1,0
22931,301601,0,0,2684,0,1,1,0
22931,312318,0,0,2684,0,2,2,0
22931,334996,0,0,2684,1,1,2,0
22931,346419,0,0,2684,0,1,1,0
22931,354986,0,0,2684,0,1,1,0
22931,362291,0,0,2684,0,1,1,0
22931,374671,0,0,2684,0,1,1,0
22931,388319,0,0,2684,0,1,1,0
22931,415556,0,0,2684,0,1,1,0
22931,423945,0,0,2684,0,1,1,0
22931,429935,0,0,2684,0,1,1,0
22931,441640,0,0,2684,0,1,1,0
22931,442392,0,0,2684,0,1,1,0
22931,461743,0,0,2684,0,1,1,0
22931,497937,0,0,2684,0,1,1,0
22931,535321,0,0,2684,3,4,7,0
22931,540072,0,0,2684,0,1,1,0
22931,544957,0,0,2684,9,10,19,0
22931,551751,0,0,2684,5,3,8,0
22931,559877,0,0,2684,0,1,1,0
22931,589605,0,0,2684,2,2,4,0
22931,612184,0,0,2684,3,5,8,0
22931,635519,0,0,2684,1,0,1,0
22931,641029,0,0,2684,0,1,1,0
22931,702061,0,0,2684,2,2,4,0
22931,702179,0,0,2684,0,1,1,0
22931,734749,0,0,2684,2,2,4,0
22931,749595,0,0,2684,8,10,18,0
22931,752879,0,0,2684,1,1,2,0
22931,767950,0,0,2684,0,1,1,0
22931,793874,0,0,2684,0,1,1,0
22931,794227,0,0,2684,0,1,1,0
22931,812245,0,0,2684,0,1,1,0
22931,817343,0,0,2684,2,2,4,0
22931,841837,0,0,2684,0,1,1,0
22931,850520,0,0,2684,0,1,1,0
22931,851045,0,0,2684,0,1,1,0
22931,868177,0,0,2684,1,2,3,0
24543,103000,0,0,2684,1,2,3,0
24543,105361,0,0,2684,1,1,2,0
24543,167204,0,0,2684,0,1,1,0
24543,188813,0,0,2684,2,2,4,0
24543,199306,0,0,2684,2,1,3,0
24543,394453,0,0,2684,1,0,1,0
24760,1920,0,0,2684,1,0,1,0
24760,101195,0,0,2684,42,45,87,0
24760,104479,0,0,2684,4,8,12,0
24760,128176,0,0,2684,0,1,1,0
24760,131622,0,0,2684,0,1,1,0
24760,191238,0,0,2684,1,1,2,0
24760,203145,0,0,2684,0,1,1,0
