ego1,ego2,term,semester,academic_year,college_year,crn
10841,53275,201220,Spring 2013,2012-2013,Sophomore,20232
10841,53275,201220,Spring 2013,2012-2013,Sophomore,25600
10841,63757,201220,Spring 2013,2012-2013,Sophomore,25447
11692,25171,201220,Spring 2013,2012-2013,Sophomore,20588
11692,28831,201220,Spring 2013,2012-2013,Sophomore,20142
11692,32100,201220,Spring 2013,2012-2013,Sophomore,22027
13799,92070,201220,Spring 2013,2012-2013,Sophomore,23168
14106,22617,201220,Spring 2013,2012-2013,Sophomore,20711
14106,22617,201220,Spring 2013,2012-2013,Sophomore,23615
14106,25323,201220,Spring 2013,2012-2013,Sophomore,22751
14106,32100,201220,Spring 2013,2012-2013,Sophomore,21421
15071,29914,201220,Spring 2013,2012-2013,Sophomore,20261
15071,29914,201220,Spring 2013,2012-2013,Sophomore,22532
15071,29914,201220,Spring 2013,2012-2013,Sophomore,22534
15071,39783,201220,Spring 2013,2012-2013,Sophomore,20443
15723,15776,201220,Spring 2013,2012-2013,Sophomore,20700
15723,15776,201220,Spring 2013,2012-2013,Sophomore,23147
15723,15776,201220,Spring 2013,2012-2013,Sophomore,24094
15723,15776,201220,Spring 2013,2012-2013,Sophomore,24392
15723,19066,201220,Spring 2013,2012-2013,Sophomore,23056
15776,19066,201220,Spring 2013,2012-2013,Sophomore,25954
15776,24543,201220,Spring 2013,2012-2013,Sophomore,24589
15776,38927,201220,Spring 2013,2012-2013,Sophomore,23057
16313,48187,201220,Spring 2013,2012-2013,Sophomore,24095
16313,52923,201220,Spring 2013,2012-2013,Sophomore,23054
16313,90289,201220,Spring 2013,2012-2013,Sophomore,25891
16933,24760,201220,Spring 2013,2012-2013,Sophomore,21670
16933,33094,201220,Spring 2013,2012-2013,Sophomore,21110
16933,51597,201220,Spring 2013,2012-2013,Sophomore,24090
16933,78911,201220,Spring 2013,2012-2013,Sophomore,21626
16933,78911,201220,Spring 2013,2012-2013,Sophomore,24092
16933,91064,201220,Spring 2013,2012-2013,Sophomore,24167
17353,22745,201220,Spring 2013,2012-2013,Sophomore,21071
18420,33094,201220,Spring 2013,2012-2013,Sophomore,22951
18420,33094,201220,Spring 2013,2012-2013,Sophomore,22953
18420,71518,201220,Spring 2013,2012-2013,Sophomore,20058
18420,71518,201220,Spring 2013,2012-2013,Sophomore,23492
18420,98639,201220,Spring 2013,2012-2013,Sophomore,22195
21350,68533,201220,Spring 2013,2012-2013,Sophomore,22284
22617,22745,201220,Spring 2013,2012-2013,Sophomore,22264
22617,28831,201220,Spring 2013,2012-2013,Sophomore,24521
22617,71518,201220,Spring 2013,2012-2013,Sophomore,28817
22745,25494,201220,Spring 2013,2012-2013,Sophomore,25824
22745,45000,201220,Spring 2013,2012-2013,Sophomore,21188
22745,45000,201220,Spring 2013,2012-2013,Sophomore,22294
22745,45000,201220,Spring 2013,2012-2013,Sophomore,23123
22745,45000,201220,Spring 2013,2012-2013,Sophomore,24557
22745,75468,201220,Spring 2013,2012-2013,Sophomore,22247
23040,92070,201220,Spring 2013,2012-2013,Sophomore,24936
23040,92070,201220,Spring 2013,2012-2013,Sophomore,26296
23040,98326,201220,Spring 2013,2012-2013,Sophomore,22054
23144,37617,201220,Spring 2013,2012-2013,Sophomore,24938
23144,46021,201220,Spring 2013,2012-2013,Sophomore,25106
23144,46160,201220,Spring 2013,2012-2013,Sophomore,21908
23144,46160,201220,Spring 2013,2012-2013,Sophomore,22220
23144,49294,201220,Spring 2013,2012-2013,Sophomore,22151
23144,69065,201220,Spring 2013,2012-2013,Sophomore,22431
23144,69065,201220,Spring 2013,2012-2013,Sophomore,25461
23144,84472,201220,Spring 2013,2012-2013,Sophomore,23787
23144,85596,201220,Spring 2013,2012-2013,Sophomore,24163
24543,29914,201220,Spring 2013,2012-2013,Sophomore,28875
24543,48187,201220,Spring 2013,2012-2013,Sophomore,22056
24760,33094,201220,Spring 2013,2012-2013,Sophomore,25446
24760,52923,201220,Spring 2013,2012-2013,Sophomore,24093
24853,51597,201220,Spring 2013,2012-2013,Sophomore,23058
25171,36951,201220,Spring 2013,2012-2013,Sophomore,21501
25171,73303,201220,Spring 2013,2012-2013,Sophomore,28872
25323,26999,201220,Spring 2013,2012-2013,Sophomore,25833
25323,39783,201220,Spring 2013,2012-2013,Sophomore,22557
25323,45945,201220,Spring 2013,2012-2013,Sophomore,20166
25323,66991,201220,Spring 2013,2012-2013,Sophomore,21190
25494,28831,201220,Spring 2013,2012-2013,Sophomore,25903
25494,36951,201220,Spring 2013,2012-2013,Sophomore,29081
