egoid,term,semester,academic_year,college_year,crn,final_grade,grade_points,is_letter_grade
16313,201120,Spring 2012,2011-2012,Freshman,20821,A,4.0,1
16313,201120,Spring 2012,2011-2012,Freshman,21899,A,4.0,1
16313,201210,Fall 2012,2012-2013,Sophomore,11342,A,4.0,1
16313,201210,Fall 2012,2012-2013,Sophomore,13109,A,4.0,1
16313,201210,Fall 2012,2012-2013,Sophomore,14301,A,4.0,1
16313,201210,Fall 2012,2012-2013,Sophomore,14305,A,4.0,1
16313,201210,Fall 2012,2012-2013,Sophomore,15217,A,4.0,1
16313,201210,Fall 2012,2012-2013,Sophomore,16953,A,4.0,1
16313,201210,Fall 2012,2012-2013,Sophomore,17444,A,4.0,1
16313,201220,Spring 2013,2012-2013,Sophomore,23054,A,4.0,1
16313,201220,Spring 2013,2012-2013,Sophomore,23095,A,4.0,1
16313,201220,Spring 2013,2012-2013,Sophomore,24095,A,4.0,1
16313,201220,Spring 2013,2012-2013,Sophomore,25865,A,4.0,1
16313,201220,Spring 2013,2012-2013,Sophomore,25891,A,4.0,1
16313,201310,Fall 2013,2013-2014,Junior,21044,A,4.0,1
16313,201310,Fall 2013,2013-2014,Junior,21052,A,4.0,1
16313,201310,Fall 2013,2013-2014,Junior,21053,A,4.0,1
16313,201320,Spring 2014,2013-2014,Junior,21427,A,4.0,1
16313,201320,Spring 2014,2013-2014,Junior,22877,A,4.0,1
16313,201320,Spring 2014,2013-2014,Junior,25304,A,4.0,1
16313,201320,Spring 2014,2013-2014,Junior,29693,A,4.0,1
16313,201410,Fall 2014,2014-2015,Senior,15386,A,4.0,1
16313,201410,Fall 2014,2014-2015,Senior,15814,A,4.0,1
16313,201410,Fall 2014,2014-2015,Senior,20707,A,4.0,1
16313,201420,Spring 2015,2014-2015,Senior,24918,A,4.0,1
16313,201420,Spring 2015,2014-2015,Senior,29989,A,4.0,1
16313,201220,Spring 2013,2012-2013,Sophomore,24392,A-,3.667,1
16313,201320,Spring 2014,2013-2014,Junior,20849,A-,3.667,1
16313,201410,Fall 2014,2014-2015,Senior,11355,A-,3.667,1
16313,201410,Fall 2014,2014-2015,Senior,20653,A-,3.667,1
16313,201420,Spring 2015,2014-2015,Senior,25733,A-,3.667,1
16313,201110,Fall 2011,2011-2012,Freshman,101001001,AD,,0
16313,201110,Fall 2011,2011-2012,Freshman,101002002,AD,,0
16313,201110,Fall 2011,2011-2012,Freshman,101003003,AD,,0
16313,201220,Spring 2013,2012-2013,Sophomore,20700,B,3.0,1
16313,201110,Fall 2011,2011-2012,Freshman,12191,B+,3.333,1
16313,201120,Spring 2012,2011-2012,Freshman,23896,B+,3.333,1
16313,201310,Fall 2013,2013-2014,Junior,21045,B+,3.333,1
16313,201420,Spring 2015,2014-2015,Senior,25099,B+,3.333,1
16313,201110,Fall 2011,2011-2012,Freshman,13160,S,,0
16313,201120,Spring 2012,2011-2012,Freshman,24634,S,,0
16313,201120,Spring 2012,2011-2012,Freshman,28835,S,,0
